,victim_AS,timestamp,event_type,label,hijacker_AS,start_time
,268391,1584411000,defcon,5,[],2020-03-17 02:10:00
,268426,1584432300,defcon,5,[],2020-03-17 08:05:00
,268491,1584434700,defcon,5,[],2020-03-17 08:45:00
,268492,1584434700,defcon,5,[],2020-03-17 08:45:00
,268524,1584434700,defcon,5,[],2020-03-17 08:45:00
,268587,1584429000,defcon,5,[],2020-03-17 07:10:00
,268673,1584441900,defcon,5,[],2020-03-17 10:45:00
,268711,1584400500,defcon,5,[],2020-03-16 23:15:00
,268791,1584395100,defcon,5,[],2020-03-16 21:45:00
,268791,1584437100,defcon,5,[],2020-03-17 09:25:00
,268930,1584434700,defcon,5,[],2020-03-17 08:45:00
,268982,1584434700,defcon,5,[],2020-03-17 08:45:00
,268994,1584434700,defcon,5,[],2020-03-17 08:45:00
,269069,1584438900,defcon,5,[],2020-03-17 09:55:00
,269223,1584410700,defcon,5,[],2020-03-17 02:05:00
,269514,1584434700,defcon,5,[],2020-03-17 08:45:00
,269530,1584392400,defcon,5,[],2020-03-16 21:00:00
,269703,1584434700,defcon,5,[],2020-03-17 08:45:00
,270255,1584434700,defcon,5,[],2020-03-17 08:45:00
,270285,1584434700,defcon,5,[],2020-03-17 08:45:00
,270315,1584434700,defcon,5,[],2020-03-17 08:45:00
,270346,1584435000,defcon,5,[],2020-03-17 08:50:00
,270413,1584434700,defcon,5,[],2020-03-17 08:45:00
,27336,1584393300,defcon,5,[],2020-03-16 21:15:00
,27370,1584393900,defcon,5,[],2020-03-16 21:25:00
,27759,1584435000,defcon,5,[],2020-03-17 08:50:00
,27881,1584405000,defcon,5,[],2020-03-17 00:30:00
,27896,1584435000,defcon,5,[],2020-03-17 08:50:00
,27983,1584394500,defcon,5,[],2020-03-16 21:35:00
,28213,1584420600,defcon,5,[],2020-03-17 04:50:00
,28226,1584408900,defcon,5,[],2020-03-17 01:35:00
,28267,1584408900,defcon,5,[],2020-03-17 01:35:00
,28267,1584444300,defcon,5,[],2020-03-17 11:25:00
,28287,1584435000,defcon,5,[],2020-03-17 08:50:00
,28360,1584444000,defcon,5,[],2020-03-17 11:20:00
,28573,1584429600,defcon,5,[],2020-03-17 07:20:00
,29039,1584445500,defcon,5,[],2020-03-17 11:45:00
,29119,1584411600,defcon,5,[],2020-03-17 02:20:00
,29544,1584399000,defcon,5,[],2020-03-16 22:50:00
,29544,1584410700,defcon,5,[],2020-03-17 02:05:00
,30969,1584433800,defcon,5,[],2020-03-17 08:30:00
,31034,1584419100,defcon,5,[],2020-03-17 04:25:00
,3130,1584439200,defcon,5,[],2020-03-17 10:00:00
,31549,1584422100,defcon,5,[],2020-03-17 05:15:00
,3216,1584434700,defcon,5,[],2020-03-17 08:45:00
,3255,1584434700,defcon,5,[],2020-03-17 08:45:00
,327687,1584438000,defcon,5,[],2020-03-17 09:40:00
,327707,1584400500,defcon,5,[],2020-03-16 23:15:00
,327738,1584434700,defcon,5,[],2020-03-17 08:45:00
,327771,1584445800,defcon,5,[],2020-03-17 11:50:00
,327799,1584433200,defcon,5,[],2020-03-17 08:20:00
,33788,1584436500,defcon,5,[],2020-03-17 09:15:00
,3379,1584419400,defcon,5,[],2020-03-17 04:30:00
,338,1584441300,defcon,5,[],2020-03-17 10:35:00
,33915,1584434700,defcon,5,[],2020-03-17 08:45:00
,34432,1584434700,defcon,5,[],2020-03-17 08:45:00
,34594,1584394800,defcon,5,[],2020-03-16 21:40:00
,3462,1584402900,defcon,5,[],2020-03-16 23:55:00
,3462,1584422100,defcon,5,[],2020-03-17 05:15:00
,35228,1584398400,defcon,5,[],2020-03-16 22:40:00
,35228,1584440400,defcon,5,[],2020-03-17 10:20:00
,35236,1584421200,defcon,5,[],2020-03-17 05:00:00
,3527,1584415500,defcon,5,[],2020-03-17 03:25:00
,3527,1584432900,defcon,5,[],2020-03-17 08:15:00
,35401,1584434700,defcon,5,[],2020-03-17 08:45:00
,357,1584425100,defcon,5,[],2020-03-17 06:05:00
,35908,1584433200,defcon,5,[],2020-03-17 08:20:00
,35913,1584393900,defcon,5,[],2020-03-16 21:25:00
,35913,1584411300,defcon,5,[],2020-03-17 02:15:00
,35913,1584434700,defcon,5,[],2020-03-17 08:45:00
,35913,1584446100,defcon,5,[],2020-03-17 11:55:00
,36114,1584410400,defcon,5,[],2020-03-17 02:00:00
,36114,1584439200,defcon,5,[],2020-03-17 10:00:00
,36935,1584405000,defcon,5,[],2020-03-17 00:30:00
,36935,1584443400,defcon,5,[],2020-03-17 11:10:00
,36947,1584402900,defcon,5,[],2020-03-16 23:55:00
,36955,1584434700,defcon,5,[],2020-03-17 08:45:00
,36991,1584437100,defcon,5,[],2020-03-17 09:25:00
,37088,1584399600,defcon,5,[],2020-03-16 23:00:00
,37088,1584408300,defcon,5,[],2020-03-17 01:25:00
,37088,1584416700,defcon,5,[],2020-03-17 03:45:00
,37088,1584438900,defcon,5,[],2020-03-17 09:55:00
,37119,1584434700,defcon,5,[],2020-03-17 08:45:00
,37122,1584429600,defcon,5,[],2020-03-17 07:20:00
,37126,1584440400,defcon,5,[],2020-03-17 10:20:00
,37154,1584410400,defcon,5,[],2020-03-17 02:00:00
,37305,1584437700,defcon,5,[],2020-03-17 09:35:00
,37369,1584436800,defcon,5,[],2020-03-17 09:20:00
,3758,1584434700,defcon,5,[],2020-03-17 08:45:00
,37638,1584444300,defcon,5,[],2020-03-17 11:25:00
,37705,1584424200,defcon,5,[],2020-03-17 05:50:00
,38067,1584446400,defcon,5,[],2020-03-17 12:00:00
,38475,1584410400,defcon,5,[],2020-03-17 02:00:00
,38566,1584426600,defcon,5,[],2020-03-17 06:30:00
,38566,1584434700,defcon,5,[],2020-03-17 08:45:00
,38710,1584427200,defcon,5,[],2020-03-17 06:40:00
,38742,1584443700,defcon,5,[],2020-03-17 11:15:00
,393249,1584430500,defcon,5,[],2020-03-17 07:35:00
,394666,1584435000,defcon,5,[],2020-03-17 08:50:00
,395301,1584429000,defcon,5,[],2020-03-17 07:10:00
,39686,1584439800,defcon,5,[],2020-03-17 10:10:00
,39761,1584421200,defcon,5,[],2020-03-17 05:00:00
,4058,1584432900,defcon,5,[],2020-03-17 08:15:00
,40926,1584435000,defcon,5,[],2020-03-17 08:50:00
,42337,1584430200,defcon,5,[],2020-03-17 07:30:00
,42530,1584399300,defcon,5,[],2020-03-16 22:55:00
,42656,1584399600,defcon,5,[],2020-03-16 23:00:00
,42695,1584396000,defcon,5,[],2020-03-16 22:00:00
,42852,1584434700,defcon,5,[],2020-03-17 08:45:00
,42925,1584435000,defcon,5,[],2020-03-17 08:50:00
,43148,1584434700,defcon,5,[],2020-03-17 08:45:00
,43364,1584438900,defcon,5,[],2020-03-17 09:55:00
,43722,1584434700,defcon,5,[],2020-03-17 08:45:00
,43754,1584434700,defcon,5,[],2020-03-17 08:45:00
,44322,1584434700,defcon,5,[],2020-03-17 08:45:00
,44814,1584434700,defcon,5,[],2020-03-17 08:45:00
,4538,1584419100,defcon,5,[],2020-03-17 04:25:00
,45410,1584430800,defcon,5,[],2020-03-17 07:40:00
,45589,1584410700,defcon,5,[],2020-03-17 02:05:00
,45761,1584410400,defcon,5,[],2020-03-17 02:00:00
,45761,1584434100,defcon,5,[],2020-03-17 08:35:00
