,level_0,index,victim_AS,timestamp,event_type,label,hijacker_AS,start_time
0,0,99,9009,1585003800,edges,4,[],2020-03-23 22:50:00
1,2,183,9080,1585008000,edges,4,[],2020-03-24 00:00:00
2,3,56,12662,1585005000,edges,4,[],2020-03-23 23:10:00
3,5,84,20704,1585004700,edges,4,[],2020-03-23 23:05:00
4,7,142,24641,1585008000,edges,4,[],2020-03-24 00:00:00
5,8,303,25133,1585003500,edges,4,[],2020-03-23 22:45:00
6,14,306,25160,1585003500,edges,4,[],2020-03-23 22:45:00
7,15,6,25369,1585005000,edges,4,[],2020-03-23 23:10:00
8,52,52,25455,1585005000,edges,4,[],2020-03-23 23:10:00
9,54,14,25521,1585005000,edges,4,[],2020-03-23 23:10:00
10,55,316,26598,1585003200,edges,4,[],2020-03-23 22:40:00
11,56,388,28000,1585001700,edges,4,[],2020-03-23 22:15:00
12,57,373,28066,1585001700,edges,4,[],2020-03-23 22:15:00
13,58,190,28186,1585008000,edges,4,[],2020-03-24 00:00:00
14,59,41,30889,1585005000,edges,4,[],2020-03-23 23:10:00
15,61,61,31078,1585005000,edges,4,[],2020-03-23 23:10:00
16,62,198,31742,1585008000,edges,4,[],2020-03-24 00:00:00
17,63,97,33932,1585004100,edges,4,[],2020-03-23 22:55:00
18,67,95,34058,1585004100,edges,4,[],2020-03-23 22:55:00
19,69,217,34087,1585005000,edges,4,[],2020-03-23 23:10:00
20,70,308,34177,1585003500,edges,4,[],2020-03-23 22:45:00
21,71,137,34911,1585008000,edges,4,[],2020-03-24 00:00:00
22,72,31,34953,1585005000,edges,4,[],2020-03-23 23:10:00
23,74,128,35280,1585008300,edges,4,[],2020-03-24 00:05:00
24,75,101,35437,1585008600,edges,4,[],2020-03-24 00:10:00
25,76,7,35625,1585005000,edges,4,[],2020-03-23 23:10:00
26,77,165,35815,1585008000,edges,4,[],2020-03-24 00:00:00
27,78,365,36236,1585002600,edges,4,[],2020-03-23 22:30:00
