表格 1,victim_AS,start_time,end_time,event_type,label,hijacker_AS,timstamp,timestamp
,174,2019-10-18 23:42:37,,Possible Hijack,1,,1571413357000,1571442157
,174,2019-11-22 11:14:53,,Possible Hijack,1,207923,1574392493000,1574421293
,174,2019-11-29 17:52:52,,Possible Hijack,1,266445,1575021172000,1575049972
,174,2019-12-10 15:55:29,,Possible Hijack,1,263157,1575964529000,1575993329
,174,2020-01-06 15:54:03,,Possible Hijack,1,397905,1578297243000,1578326043
,174,2020-01-08 09:53:49,,Possible Hijack,1,58678,1578448429000,1578477229
,174,2020-02-10 01:34:18,,Possible Hijack,1,45996,1581269658000,1581298458
,174,2020-02-10 14:59:39,,Possible Hijack,1,207461,1581317979000,1581346779
,174,2020-02-14 03:02:47,,Possible Hijack,1,395225,1581620567000,1581649367
,243,2020-02-03 14:49:55,,Possible Hijack,1,855,1580712595000,1580741395
,306,2020-02-14 11:50:21,,Possible Hijack,1,52871,1581652221000,1581681021
,316,2019-09-03 06:01:00,,Outage,3,,1567461660000,1567490460
,316,2019-10-15 06:00:00,2019-10-15 06:03:00,Outage,3,,1571090400000,1571119200
,316,2019-11-01 07:02:00,,Outage,3,,1572562920000,1572591720
,316,2020-01-04 13:22:00,2020-01-04 13:25:00,Outage,3,,1578115320000,1578144120
,316,2020-01-07 08:08:00,2020-01-07 08:13:00,Outage,3,,1578355680000,1578384480
,316,2020-01-20 08:13:00,,Outage,3,,1579479180000,1579507980
,316,2020-02-21 05:25:00,,Outage,3,,1582233900000,1582262700
,316,2020-03-02 07:53:00,2020-03-02 07:58:00,Outage,3,,1583106780000,1583135580
,320,2019-11-14 22:07:00,2019-11-14 22:10:00,Outage,3,,1573740420000,1573769220
,320,2019-12-17 20:23:00,,Outage,3,,1576585380000,1576614180
,320,2020-01-04 13:22:00,2020-01-04 13:25:00,Outage,3,,1578115320000,1578144120
,320,2020-01-07 08:33:00,2020-01-07 08:39:00,Outage,3,,1578357180000,1578385980
,320,2020-02-28 15:28:00,,Outage,3,,1582874880000,1582903680
,320,2020-03-02 07:53:00,2020-03-02 07:58:00,Outage,3,,1583106780000,1583135580
,323,2019-09-08 01:46:00,,Outage,3,,1567878360000,1567907160
,324,2019-10-10 20:16:00,,Outage,3,,1570709760000,1570738560
,324,2019-10-30 13:42:00,2019-10-30 13:49:00,Outage,3,,1572414120000,1572442920
,324,2019-11-18 17:45:00,2019-11-18 17:50:00,Outage,3,,1574070300000,1574099100
,324,2019-11-18 21:51:00,2019-11-18 21:56:00,Outage,3,,1574085060000,1574113860
,332,2019-11-04 22:15:00,,Outage,3,,1572876900000,1572905700
,332,2020-01-04 13:22:00,2020-01-04 13:25:00,Outage,3,,1578115320000,1578144120
,332,2020-02-05 05:29:00,2020-02-05 06:08:00,Outage,3,,1580851740000,1580880540
,334,2019-10-11 12:31:00,,Outage,3,,1570768260000,1570797060
,334,2019-11-22 06:01:00,2019-11-22 09:13:00,Outage,3,,1574373660000,1574402460
,334,2019-12-03 05:30:00,2019-12-03 05:35:00,Outage,3,,1575322200000,1575351000
,334,2019-12-11 16:04:00,2019-12-11 16:10:00,Outage,3,,1576051440000,1576080240
,334,2020-01-04 13:20:00,2020-01-04 13:26:00,Outage,3,,1578115200000,1578144000
,334,2020-01-07 08:02:00,2020-01-07 08:08:00,Outage,3,,1578355320000,1578384120
,334,2020-01-20 08:57:00,,Outage,3,,1579481820000,1579510620
,334,2020-03-02 08:08:00,2020-03-02 08:13:00,Outage,3,,1583107680000,1583136480
,335,2019-09-08 19:22:00,2019-09-08 19:27:00,Outage,3,,1567941720000,1567970520
,335,2019-09-20 10:23:00,2019-09-20 10:27:00,Outage,3,,1568946180000,1568974980
,335,2019-10-15 04:31:00,,Outage,3,,1571085060000,1571113860
,335,2019-11-12 05:10:00,,Outage,3,,1573506600000,1573535400
,335,2019-11-13 16:42:00,2019-11-13 16:57:00,Outage,3,,1573634520000,1573663320
,335,2019-12-01 05:54:00,,Outage,3,,1575150840000,1575179640
,335,2020-01-04 13:22:00,2020-01-04 13:25:00,Outage,3,,1578115320000,1578144120
,335,2020-01-07 08:20:00,2020-01-07 08:25:00,Outage,3,,1578356400000,1578385200
,335,2020-01-20 09:14:00,,Outage,3,,1579482840000,1579511640
,335,2020-02-05 08:17:00,,Outage,3,,1580861820000,1580890620
,335,2020-03-01 12:00:00,,Outage,3,,1583035200000,1583064000
,335,2020-03-02 08:21:00,2020-03-02 08:27:00,Outage,3,,1583108460000,1583137260
,335,2020-03-13 16:57:00,,Outage,3,,1584089820000,1584118620
